"Story","Title","Result","Date","Stability","Duration (s)"
"Prueba choucair","Navigate to contact page","SUCCESS","2020-12-09T12:48:29.794-05:00[America/Bogota]","0.0","11.78"
"Prueba choucair","Navegar pagina choucair","SUCCESS","2020-12-09T13:18:05.815-05:00[America/Bogota]","0.0","14.4"
